name	period	bikes	cluster1	cluster2	num1	trip1	num2	trip2
"Schermerhorn St & Bond St"	morning	26.52	1	0	184	94.58	492	38.64
"Schermerhorn St & Bond St"	afternoon	27.97	1	0	184	94.58	492	38.64
"Schermerhorn St & Bond St"	evening	30.84	1	0	184	94.58	492	38.64
"Schermerhorn St & Bond St"	night	1.26	1	0	184	94.58	492	38.64
"E 71 St & 2 Ave"	morning	14.13	0	0	430	29.5	492	38.64
"E 71 St & 2 Ave"	afternoon	18.68	0	0	430	29.5	492	38.64
"E 71 St & 2 Ave"	evening	12.23	0	0	430	29.5	492	38.64
"E 71 St & 2 Ave"	night	1.03	0	0	430	29.5	492	38.64
"Broadway & W 41 St"	morning	95.97	4	1	118	173.67	51	267.31
"Broadway & W 41 St"	afternoon	75.23	4	1	118	173.67	51	267.31
"Broadway & W 41 St"	evening	34.13	4	1	118	173.67	51	267.31
"Broadway & W 41 St"	night	3.06	4	1	118	173.67	51	267.31
"MacDougal St & Prince St"	morning	65.45	4	1	118	173.67	51	267.31
"MacDougal St & Prince St"	afternoon	81.81	4	1	118	173.67	51	267.31
"MacDougal St & Prince St"	evening	67.23	4	1	118	173.67	51	267.31
"MacDougal St & Prince St"	night	5.13	4	1	118	173.67	51	267.31
"W 12 St & W 4 St"	morning	40.32	1	2	184	94.58	193	140.11
"W 12 St & W 4 St"	afternoon	44.06	1	2	184	94.58	193	140.11
"W 12 St & W 4 St"	evening	40.06	1	2	184	94.58	193	140.11
"W 12 St & W 4 St"	night	3.29	1	2	184	94.58	193	140.11
"W 26 St & 8 Ave"	morning	40.9	4	2	118	173.67	193	140.11
"W 26 St & 8 Ave"	afternoon	66.0	4	2	118	173.67	193	140.11
"W 26 St & 8 Ave"	evening	67.65	4	2	118	173.67	193	140.11
"W 26 St & 8 Ave"	night	4.65	4	2	118	173.67	193	140.11
"E 91 St & 2 Ave"	morning	31.23	1	0	184	94.58	492	38.64
"E 91 St & 2 Ave"	afternoon	21.03	1	0	184	94.58	492	38.64
"E 91 St & 2 Ave"	evening	17.29	1	0	184	94.58	492	38.64
"E 91 St & 2 Ave"	night	1.29	1	0	184	94.58	492	38.64
"W 21 St & 6 Ave"	morning	111.1	2	1	33	292.03	51	267.31
"W 21 St & 6 Ave"	afternoon	173.35	2	1	33	292.03	51	267.31
"W 21 St & 6 Ave"	evening	82.16	2	1	33	292.03	51	267.31
"W 21 St & 6 Ave"	night	3.29	2	1	33	292.03	51	267.31
"E 33 St & 5 Ave"	morning	50.9	4	2	118	173.67	193	140.11
"E 33 St & 5 Ave"	afternoon	80.74	4	2	118	173.67	193	140.11
"E 33 St & 5 Ave"	evening	31.84	4	2	118	173.67	193	140.11
"E 33 St & 5 Ave"	night	3.61	4	2	118	173.67	193	140.11
"E 16 St & 5 Ave"	morning	48.74	4	2	118	173.67	193	140.11
"E 16 St & 5 Ave"	afternoon	108.87	4	2	118	173.67	193	140.11
"E 16 St & 5 Ave"	evening	41.84	4	2	118	173.67	193	140.11
"E 16 St & 5 Ave"	night	1.19	4	2	118	173.67	193	140.11
"Centre St & Chambers St"	morning	54.32	4	1	118	173.67	51	267.31
"Centre St & Chambers St"	afternoon	118.32	4	1	118	173.67	51	267.31
"Centre St & Chambers St"	evening	52.06	4	1	118	173.67	51	267.31
"Centre St & Chambers St"	night	4.06	4	1	118	173.67	51	267.31
"Central Park West & W 76 St"	morning	34.81	1	2	184	94.58	193	140.11
"Central Park West & W 76 St"	afternoon	58.29	1	2	184	94.58	193	140.11
"Central Park West & W 76 St"	evening	14.39	1	2	184	94.58	193	140.11
